tag,dag,segundos,run_id,timestamp_utc,lotes,registros,volume_total
V1_rep1,dag_ingestao_bronze,27,perf_V1_rep1_dag_ingestao_bronze_1784639284,2026-07-21T13:08:32Z,2,500,8000
V1_rep1,dag_silver_transform,193,perf_V1_rep1_dag_silver_transform_1784639312,2026-07-21T13:11:47Z,2,500,8000
V1_rep1,dag_gold_refresh,125,perf_V1_rep1_dag_gold_refresh_1784639508,2026-07-21T13:13:54Z,2,500,8000
V1_rep2,dag_ingestao_bronze,33,perf_V1_rep2_dag_ingestao_bronze_1784639987,2026-07-21T13:20:21Z,2,500,8000
V1_rep2,dag_silver_transform,192,perf_V1_rep2_dag_silver_transform_1784640022,2026-07-21T13:23:36Z,2,500,8000
V1_rep2,dag_gold_refresh,124,perf_V1_rep2_dag_gold_refresh_1784640217,2026-07-21T13:25:42Z,2,500,8000
V1_rep3,dag_ingestao_bronze,27,perf_V1_rep3_dag_ingestao_bronze_1784640440,2026-07-21T13:27:49Z,2,500,8000
V1_rep3,dag_silver_transform,200,perf_V1_rep3_dag_silver_transform_1784640469,2026-07-21T13:31:11Z,2,500,8000
V1_rep3,dag_gold_refresh,125,perf_V1_rep3_dag_gold_refresh_1784640671,2026-07-21T13:33:18Z,2,500,8000
V2_rep1,dag_ingestao_bronze,34,perf_V2_rep1_dag_ingestao_bronze_1784640887,2026-07-21T13:35:23Z,20,500,80000
V2_rep1,dag_silver_transform,199,perf_V2_rep1_dag_silver_transform_1784640923,2026-07-21T13:38:44Z,20,500,80000
V2_rep1,dag_gold_refresh,125,perf_V2_rep1_dag_gold_refresh_1784641125,2026-07-21T13:40:52Z,20,500,80000
V2_rep2,dag_ingestao_bronze,33,perf_V2_rep2_dag_ingestao_bronze_1784641342,2026-07-21T13:42:57Z,20,500,80000
V2_rep2,dag_silver_transform,227,perf_V2_rep2_dag_silver_transform_1784641378,2026-07-21T13:46:46Z,20,500,80000
V2_rep2,dag_gold_refresh,124,perf_V2_rep2_dag_gold_refresh_1784641607,2026-07-21T13:48:52Z,20,500,80000
V2_rep3,dag_ingestao_bronze,33,perf_V2_rep3_dag_ingestao_bronze_1784641816,2026-07-21T13:50:51Z,20,500,80000
V2_rep3,dag_silver_transform,208,perf_V2_rep3_dag_silver_transform_1784641852,2026-07-21T13:54:21Z,20,500,80000
V2_rep3,dag_gold_refresh,124,perf_V2_rep3_dag_gold_refresh_1784642061,2026-07-21T13:56:27Z,20,500,80000
V3_rep1,dag_ingestao_bronze,67,perf_V3_rep1_dag_ingestao_bronze_1784642296,2026-07-21T13:59:25Z,200,500,800000
V3_rep1,dag_silver_transform,240,perf_V3_rep1_dag_silver_transform_1784642366,2026-07-21T14:03:27Z,200,500,800000
V3_rep1,dag_gold_refresh,124,perf_V3_rep1_dag_gold_refresh_1784642607,2026-07-21T14:05:33Z,200,500,800000
V3_rep2,dag_ingestao_bronze,67,perf_V3_rep2_dag_ingestao_bronze_1784642838,2026-07-21T14:08:27Z,200,500,800000
V3_rep2,dag_silver_transform,240,perf_V3_rep2_dag_silver_transform_1784642908,2026-07-21T14:12:29Z,200,500,800000
V3_rep2,dag_gold_refresh,124,perf_V3_rep2_dag_gold_refresh_1784643149,2026-07-21T14:14:34Z,200,500,800000
V3_rep3,dag_ingestao_bronze,67,perf_V3_rep3_dag_ingestao_bronze_1784643400,2026-07-21T14:17:49Z,200,500,800000
V3_rep3,dag_silver_transform,238,perf_V3_rep3_dag_silver_transform_1784643469,2026-07-21T14:21:49Z,200,500,800000
V3_rep3,dag_gold_refresh,117,perf_V3_rep3_dag_gold_refresh_1784643710,2026-07-21T14:23:48Z,200,500,800000
C1_rep1,dag_ingestao_bronze,67,perf_C1_rep1_dag_ingestao_bronze_1784643928,2026-07-21T14:26:37Z,200,500,800000
