tag,tabela,n_snapshots
V1_rep1,silver.gps,2
V1_rep1,silver.sensor,2
V1_rep1,silver.relt_intel,2
V1_rep1,silver.paf,2
V1_rep1,silver.obstaculo,2
V1_rep1,silver.seg_area,2
V1_rep1,silver.pessoal,2
V1_rep1,silver.material,2
V1_rep2,silver.gps,2
V1_rep2,silver.sensor,2
V1_rep2,silver.relt_intel,2
V1_rep2,silver.paf,2
V1_rep2,silver.obstaculo,2
V1_rep2,silver.seg_area,2
V1_rep2,silver.pessoal,2
V1_rep2,silver.material,2
V1_rep3,silver.gps,2
V1_rep3,silver.sensor,2
V1_rep3,silver.relt_intel,2
V1_rep3,silver.paf,2
V1_rep3,silver.obstaculo,2
V1_rep3,silver.seg_area,2
V1_rep3,silver.pessoal,2
V1_rep3,silver.material,2
V2_rep1,silver.gps,2
V2_rep1,silver.sensor,2
V2_rep1,silver.relt_intel,2
V2_rep1,silver.paf,2
V2_rep1,silver.obstaculo,2
V2_rep1,silver.seg_area,2
V2_rep1,silver.pessoal,2
V2_rep1,silver.material,2
V2_rep2,silver.gps,2
V2_rep2,silver.sensor,2
V2_rep2,silver.relt_intel,2
V2_rep2,silver.paf,2
V2_rep2,silver.obstaculo,2
V2_rep2,silver.seg_area,2
V2_rep2,silver.pessoal,2
V2_rep2,silver.material,2
V2_rep3,silver.gps,2
V2_rep3,silver.sensor,2
V2_rep3,silver.relt_intel,2
V2_rep3,silver.paf,2
V2_rep3,silver.obstaculo,2
V2_rep3,silver.seg_area,2
V2_rep3,silver.pessoal,2
V2_rep3,silver.material,2
V3_rep1,silver.gps,2
V3_rep1,silver.sensor,2
V3_rep1,silver.relt_intel,2
V3_rep1,silver.paf,2
V3_rep1,silver.obstaculo,2
V3_rep1,silver.seg_area,2
V3_rep1,silver.pessoal,2
V3_rep1,silver.material,2
V3_rep2,silver.gps,2
V3_rep2,silver.sensor,2
V3_rep2,silver.relt_intel,2
V3_rep2,silver.paf,2
V3_rep2,silver.obstaculo,2
V3_rep2,silver.seg_area,2
V3_rep2,silver.pessoal,2
V3_rep2,silver.material,2
V3_rep3,silver.gps,2
V3_rep3,silver.sensor,2
V3_rep3,silver.relt_intel,2
V3_rep3,silver.paf,2
V3_rep3,silver.obstaculo,2
V3_rep3,silver.seg_area,2
V3_rep3,silver.pessoal,2
V3_rep3,silver.material,2
C1_rep1,silver.gps,2
C1_rep1,silver.sensor,2
C1_rep1,silver.relt_intel,2
C1_rep1,silver.paf,2
C1_rep1,silver.obstaculo,2
C1_rep1,silver.seg_area,2
C1_rep1,silver.pessoal,2
C1_rep1,silver.material,2
C1_rep2,silver.gps,2
C1_rep2,silver.sensor,2
C1_rep2,silver.relt_intel,2
C1_rep2,silver.paf,2
C1_rep2,silver.obstaculo,2
C1_rep2,silver.seg_area,2
C1_rep2,silver.pessoal,2
C1_rep2,silver.material,2
C1_rep3,silver.gps,2
C1_rep3,silver.sensor,2
C1_rep3,silver.relt_intel,2
C1_rep3,silver.paf,2
C1_rep3,silver.obstaculo,2
C1_rep3,silver.seg_area,2
C1_rep3,silver.pessoal,2
C1_rep3,silver.material,2
C2_rep1,silver.gps,2
C2_rep1,silver.sensor,2
C2_rep1,silver.relt_intel,2
C2_rep1,silver.paf,2
C2_rep1,silver.obstaculo,2
C2_rep1,silver.seg_area,2
C2_rep1,silver.pessoal,2
C2_rep1,silver.material,2
C2_rep2,silver.gps,2
C2_rep2,silver.sensor,2
C2_rep2,silver.relt_intel,2
C2_rep2,silver.paf,2
C2_rep2,silver.obstaculo,2
C2_rep2,silver.seg_area,2
C2_rep2,silver.pessoal,2
C2_rep2,silver.material,2
C2_rep3,silver.gps,2
C2_rep3,silver.sensor,2
C2_rep3,silver.relt_intel,2
C2_rep3,silver.paf,2
C2_rep3,silver.obstaculo,2
C2_rep3,silver.seg_area,2
C2_rep3,silver.pessoal,2
C2_rep3,silver.material,2
C4_rep1,silver.gps,2
C4_rep1,silver.sensor,2
C4_rep1,silver.relt_intel,2
C4_rep1,silver.paf,2
C4_rep1,silver.obstaculo,2
C4_rep1,silver.seg_area,2
C4_rep1,silver.pessoal,2
C4_rep1,silver.material,2
C4_rep2,silver.gps,2
C4_rep2,silver.sensor,2
C4_rep2,silver.relt_intel,2
C4_rep2,silver.paf,2
C4_rep2,silver.obstaculo,2
C4_rep2,silver.seg_area,2
C4_rep2,silver.pessoal,2
C4_rep2,silver.material,2
C4_rep3,silver.gps,2
C4_rep3,silver.sensor,2
C4_rep3,silver.relt_intel,2
C4_rep3,silver.paf,2
C4_rep3,silver.obstaculo,2
C4_rep3,silver.seg_area,2
C4_rep3,silver.pessoal,2
C4_rep3,silver.material,2
