tag,dag,segundos,run_id,timestamp_utc,lotes,registros,volume_total
V1_rep1,dag_ingestao_bronze,26.228,perf_V1_rep1_dag_ingestao_bronze_1784659364,2026-07-21T18:43:12Z,2,500,8000
V1_rep1,dag_silver_transform,192.022,perf_V1_rep1_dag_silver_transform_1784659393,2026-07-21T18:46:27Z,2,500,8000
V1_rep1,dag_gold_refresh,116.885,perf_V1_rep1_dag_gold_refresh_1784659587,2026-07-21T18:48:25Z,2,500,8000
V1_rep2,dag_ingestao_bronze,26.112,perf_V1_rep2_dag_ingestao_bronze_1784659794,2026-07-21T18:50:22Z,2,500,8000
V1_rep2,dag_silver_transform,191.815,perf_V1_rep2_dag_silver_transform_1784659822,2026-07-21T18:53:36Z,2,500,8000
V1_rep2,dag_gold_refresh,124.005,perf_V1_rep2_dag_gold_refresh_1784660016,2026-07-21T18:55:42Z,2,500,8000
V1_rep3,dag_ingestao_bronze,26.199,perf_V1_rep3_dag_ingestao_bronze_1784660230,2026-07-21T18:57:38Z,2,500,8000
V1_rep3,dag_silver_transform,198.962,perf_V1_rep3_dag_silver_transform_1784660258,2026-07-21T19:00:59Z,2,500,8000
V1_rep3,dag_gold_refresh,124.704,perf_V1_rep3_dag_gold_refresh_1784660459,2026-07-21T19:03:06Z,2,500,8000
V1_rep4,dag_ingestao_bronze,26.215,perf_V1_rep4_dag_ingestao_bronze_1784660668,2026-07-21T19:04:56Z,2,500,8000
V1_rep4,dag_silver_transform,191.284,perf_V1_rep4_dag_silver_transform_1784660697,2026-07-21T19:08:10Z,2,500,8000
V1_rep4,dag_gold_refresh,116.025,perf_V1_rep4_dag_gold_refresh_1784660890,2026-07-21T19:10:08Z,2,500,8000
V1_rep5,dag_ingestao_bronze,26.206,perf_V1_rep5_dag_ingestao_bronze_1784661095,2026-07-21T19:12:03Z,2,500,8000
V1_rep5,dag_silver_transform,192.110,perf_V1_rep5_dag_silver_transform_1784661123,2026-07-21T19:15:17Z,2,500,8000
V1_rep5,dag_gold_refresh,117.296,perf_V1_rep5_dag_gold_refresh_1784661318,2026-07-21T19:17:17Z,2,500,8000
V1_rep6,dag_ingestao_bronze,26.440,perf_V1_rep6_dag_ingestao_bronze_1784661524,2026-07-21T19:19:13Z,2,500,8000
V1_rep6,dag_silver_transform,199.792,perf_V1_rep6_dag_silver_transform_1784661553,2026-07-21T19:22:34Z,2,500,8000
V1_rep6,dag_gold_refresh,125.075,perf_V1_rep6_dag_gold_refresh_1784661754,2026-07-21T19:24:41Z,2,500,8000
V1_rep7,dag_ingestao_bronze,26.114,perf_V1_rep7_dag_ingestao_bronze_1784661969,2026-07-21T19:26:37Z,2,500,8000
V1_rep7,dag_silver_transform,191.665,perf_V1_rep7_dag_silver_transform_1784661997,2026-07-21T19:29:51Z,2,500,8000
V1_rep7,dag_gold_refresh,131.194,perf_V1_rep7_dag_gold_refresh_1784662191,2026-07-21T19:32:04Z,2,500,8000
V1_rep8,dag_ingestao_bronze,26.191,perf_V1_rep8_dag_ingestao_bronze_1784662412,2026-07-21T19:34:00Z,2,500,8000
V1_rep8,dag_silver_transform,200.181,perf_V1_rep8_dag_silver_transform_1784662440,2026-07-21T19:37:22Z,2,500,8000
V1_rep8,dag_gold_refresh,125.863,perf_V1_rep8_dag_gold_refresh_1784662643,2026-07-21T19:39:30Z,2,500,8000
V1_rep9,dag_ingestao_bronze,26.466,perf_V1_rep9_dag_ingestao_bronze_1784662859,2026-07-21T19:41:27Z,2,500,8000
V1_rep9,dag_silver_transform,195.946,perf_V1_rep9_dag_silver_transform_1784662887,2026-07-21T19:44:45Z,2,500,8000
V1_rep9,dag_gold_refresh,124.076,perf_V1_rep9_dag_gold_refresh_1784663086,2026-07-21T19:46:51Z,2,500,8000
V1_rep10,dag_ingestao_bronze,26.087,perf_V1_rep10_dag_ingestao_bronze_1784663308,2026-07-21T19:48:56Z,2,500,8000
V1_rep10,dag_silver_transform,191.304,perf_V1_rep10_dag_silver_transform_1784663336,2026-07-21T19:52:09Z,2,500,8000
V1_rep10,dag_gold_refresh,123.648,perf_V1_rep10_dag_gold_refresh_1784663529,2026-07-21T19:54:15Z,2,500,8000
V1_rep11,dag_ingestao_bronze,26.079,perf_V1_rep11_dag_ingestao_bronze_1784663744,2026-07-21T19:56:11Z,2,500,8000
V1_rep11,dag_silver_transform,198.171,perf_V1_rep11_dag_silver_transform_1784663772,2026-07-21T19:59:32Z,2,500,8000
V1_rep11,dag_gold_refresh,117.531,perf_V1_rep11_dag_gold_refresh_1784663972,2026-07-21T20:01:31Z,2,500,8000
V1_rep12,dag_ingestao_bronze,26.141,perf_V1_rep12_dag_ingestao_bronze_1784664179,2026-07-21T20:03:27Z,2,500,8000
V1_rep12,dag_silver_transform,191.389,perf_V1_rep12_dag_silver_transform_1784664207,2026-07-21T20:06:40Z,2,500,8000
V1_rep12,dag_gold_refresh,118.015,perf_V1_rep12_dag_gold_refresh_1784664400,2026-07-21T20:08:40Z,2,500,8000
V2_rep1,dag_ingestao_bronze,32.796,perf_V2_rep1_dag_ingestao_bronze_1784664611,2026-07-21T20:10:46Z,20,500,80000
V2_rep1,dag_silver_transform,205.223,perf_V2_rep1_dag_silver_transform_1784664646,2026-07-21T20:14:13Z,20,500,80000
V2_rep1,dag_gold_refresh,124.142,perf_V2_rep1_dag_gold_refresh_1784664853,2026-07-21T20:16:19Z,20,500,80000
V2_rep2,dag_ingestao_bronze,33.154,perf_V2_rep2_dag_ingestao_bronze_1784665075,2026-07-21T20:18:30Z,20,500,80000
V2_rep2,dag_silver_transform,198.556,perf_V2_rep2_dag_silver_transform_1784665110,2026-07-21T20:21:51Z,20,500,80000
V2_rep2,dag_gold_refresh,117.574,perf_V2_rep2_dag_gold_refresh_1784665311,2026-07-21T20:23:50Z,20,500,80000
V2_rep3,dag_ingestao_bronze,32.935,perf_V2_rep3_dag_ingestao_bronze_1784665514,2026-07-21T20:25:49Z,20,500,80000
V2_rep3,dag_silver_transform,198.407,perf_V2_rep3_dag_silver_transform_1784665550,2026-07-21T20:29:10Z,20,500,80000
V2_rep3,dag_gold_refresh,118.347,perf_V2_rep3_dag_gold_refresh_1784665750,2026-07-21T20:31:10Z,20,500,80000
V2_rep4,dag_ingestao_bronze,32.854,perf_V2_rep4_dag_ingestao_bronze_1784665962,2026-07-21T20:33:17Z,20,500,80000
V2_rep4,dag_silver_transform,199.015,perf_V2_rep4_dag_silver_transform_1784665997,2026-07-21T20:36:38Z,20,500,80000
V2_rep4,dag_gold_refresh,116.970,perf_V2_rep4_dag_gold_refresh_1784666198,2026-07-21T20:38:37Z,20,500,80000
V2_rep5,dag_ingestao_bronze,32.984,perf_V2_rep5_dag_ingestao_bronze_1784666402,2026-07-21T20:40:36Z,20,500,80000
V2_rep5,dag_silver_transform,191.994,perf_V2_rep5_dag_silver_transform_1784666437,2026-07-21T20:43:51Z,20,500,80000
V2_rep5,dag_gold_refresh,118.606,perf_V2_rep5_dag_gold_refresh_1784666631,2026-07-21T20:45:51Z,20,500,80000
V2_rep6,dag_ingestao_bronze,33.176,perf_V2_rep6_dag_ingestao_bronze_1784666842,2026-07-21T20:47:57Z,20,500,80000
V2_rep6,dag_silver_transform,198.582,perf_V2_rep6_dag_silver_transform_1784666877,2026-07-21T20:51:18Z,20,500,80000
V2_rep6,dag_gold_refresh,116.652,perf_V2_rep6_dag_gold_refresh_1784667078,2026-07-21T20:53:16Z,20,500,80000
V2_rep7,dag_ingestao_bronze,33.200,perf_V2_rep7_dag_ingestao_bronze_1784667287,2026-07-21T20:55:22Z,20,500,80000
V2_rep7,dag_silver_transform,205.035,perf_V2_rep7_dag_silver_transform_1784667323,2026-07-21T20:58:50Z,20,500,80000
V2_rep7,dag_gold_refresh,125.173,perf_V2_rep7_dag_gold_refresh_1784667530,2026-07-21T21:00:57Z,20,500,80000
V2_rep8,dag_ingestao_bronze,33.060,perf_V2_rep8_dag_ingestao_bronze_1784667748,2026-07-21T21:03:03Z,20,500,80000
V2_rep8,dag_silver_transform,198.479,perf_V2_rep8_dag_silver_transform_1784667783,2026-07-21T21:06:23Z,20,500,80000
V2_rep8,dag_gold_refresh,118.021,perf_V2_rep8_dag_gold_refresh_1784667984,2026-07-21T21:08:24Z,20,500,80000
V2_rep9,dag_ingestao_bronze,33.197,perf_V2_rep9_dag_ingestao_bronze_1784668193,2026-07-21T21:10:28Z,20,500,80000
V2_rep9,dag_silver_transform,198.758,perf_V2_rep9_dag_silver_transform_1784668228,2026-07-21T21:13:49Z,20,500,80000
V2_rep9,dag_gold_refresh,117.676,perf_V2_rep9_dag_gold_refresh_1784668429,2026-07-21T21:15:48Z,20,500,80000
V2_rep10,dag_ingestao_bronze,33.080,perf_V2_rep10_dag_ingestao_bronze_1784668640,2026-07-21T21:17:55Z,20,500,80000
V2_rep10,dag_silver_transform,198.419,perf_V2_rep10_dag_silver_transform_1784668675,2026-07-21T21:21:15Z,20,500,80000
V2_rep10,dag_gold_refresh,129.449,perf_V2_rep10_dag_gold_refresh_1784668876,2026-07-21T21:23:27Z,20,500,80000
V2_rep11,dag_ingestao_bronze,33.131,perf_V2_rep11_dag_ingestao_bronze_1784669097,2026-07-21T21:25:32Z,20,500,80000
V2_rep11,dag_silver_transform,198.639,perf_V2_rep11_dag_silver_transform_1784669132,2026-07-21T21:28:52Z,20,500,80000
V2_rep11,dag_gold_refresh,118.570,perf_V2_rep11_dag_gold_refresh_1784669333,2026-07-21T21:30:53Z,20,500,80000
V2_rep12,dag_ingestao_bronze,32.837,perf_V2_rep12_dag_ingestao_bronze_1784669537,2026-07-21T21:32:52Z,20,500,80000
V2_rep12,dag_silver_transform,198.578,perf_V2_rep12_dag_silver_transform_1784669572,2026-07-21T21:36:12Z,20,500,80000
V2_rep12,dag_gold_refresh,118.411,perf_V2_rep12_dag_gold_refresh_1784669773,2026-07-21T21:38:13Z,20,500,80000
V3_rep1,dag_ingestao_bronze,67.173,perf_V3_rep1_dag_ingestao_bronze_1784669998,2026-07-21T21:41:07Z,200,500,800000
V3_rep1,dag_silver_transform,244.896,perf_V3_rep1_dag_silver_transform_1784670067,2026-07-21T21:45:14Z,200,500,800000
V3_rep1,dag_gold_refresh,130.481,perf_V3_rep1_dag_gold_refresh_1784670314,2026-07-21T21:47:27Z,200,500,800000
V3_rep2,dag_ingestao_bronze,67.149,perf_V3_rep2_dag_ingestao_bronze_1784670558,2026-07-21T21:50:27Z,200,500,800000
V3_rep2,dag_silver_transform,245.812,perf_V3_rep2_dag_silver_transform_1784670627,2026-07-21T21:54:35Z,200,500,800000
V3_rep2,dag_gold_refresh,123.473,perf_V3_rep2_dag_gold_refresh_1784670875,2026-07-21T21:56:40Z,200,500,800000
V3_rep3,dag_ingestao_bronze,67.112,perf_V3_rep3_dag_ingestao_bronze_1784671108,2026-07-21T21:59:37Z,200,500,800000
V3_rep3,dag_silver_transform,239.166,perf_V3_rep3_dag_silver_transform_1784671177,2026-07-21T22:03:38Z,200,500,800000
V3_rep3,dag_gold_refresh,123.860,perf_V3_rep3_dag_gold_refresh_1784671418,2026-07-21T22:05:43Z,200,500,800000
V3_rep4,dag_ingestao_bronze,67.019,perf_V3_rep4_dag_ingestao_bronze_1784671652,2026-07-21T22:08:41Z,200,500,800000
V3_rep4,dag_silver_transform,244.876,perf_V3_rep4_dag_silver_transform_1784671721,2026-07-21T22:12:48Z,200,500,800000
V3_rep4,dag_gold_refresh,130.043,perf_V3_rep4_dag_gold_refresh_1784671968,2026-07-21T22:15:00Z,200,500,800000
V3_rep5,dag_ingestao_bronze,67.012,perf_V3_rep5_dag_ingestao_bronze_1784672217,2026-07-21T22:18:06Z,200,500,800000
V3_rep5,dag_silver_transform,245.985,perf_V3_rep5_dag_silver_transform_1784672287,2026-07-21T22:22:14Z,200,500,800000
V3_rep5,dag_gold_refresh,123.297,perf_V3_rep5_dag_gold_refresh_1784672535,2026-07-21T22:24:20Z,200,500,800000
