tag,tabela,n_arquivos,tamanho_mb
V1_rep1,silver.gps,7,0.07
V1_rep1,silver.sensor,7,0.043
V1_rep1,silver.relt_intel,7,0.114
V1_rep1,silver.paf,7,0.087
V1_rep1,silver.obstaculo,7,0.088
V1_rep1,silver.seg_area,7,0.089
V1_rep1,silver.pessoal,7,0.075
V1_rep1,silver.material,7,0.051
V1_rep2,silver.gps,7,0.07
V1_rep2,silver.sensor,7,0.043
V1_rep2,silver.relt_intel,7,0.115
V1_rep2,silver.paf,7,0.087
V1_rep2,silver.obstaculo,7,0.088
V1_rep2,silver.seg_area,7,0.089
V1_rep2,silver.pessoal,7,0.076
V1_rep2,silver.material,7,0.051
V1_rep3,silver.gps,7,0.071
V1_rep3,silver.sensor,7,0.043
V1_rep3,silver.relt_intel,7,0.114
V1_rep3,silver.paf,7,0.087
V1_rep3,silver.obstaculo,7,0.088
V1_rep3,silver.seg_area,7,0.089
V1_rep3,silver.pessoal,7,0.076
V1_rep3,silver.material,7,0.051
V1_rep4,silver.gps,7,0.07
V1_rep4,silver.sensor,7,0.043
V1_rep4,silver.relt_intel,7,0.114
V1_rep4,silver.paf,7,0.087
V1_rep4,silver.obstaculo,7,0.088
V1_rep4,silver.seg_area,7,0.089
V1_rep4,silver.pessoal,7,0.075
V1_rep4,silver.material,7,0.051
V1_rep5,silver.gps,7,0.07
V1_rep5,silver.sensor,7,0.043
V1_rep5,silver.relt_intel,7,0.114
V1_rep5,silver.paf,7,0.086
V1_rep5,silver.obstaculo,7,0.087
V1_rep5,silver.seg_area,7,0.089
V1_rep5,silver.pessoal,7,0.075
V1_rep5,silver.material,7,0.05
V1_rep6,silver.gps,7,0.07
V1_rep6,silver.sensor,7,0.043
V1_rep6,silver.relt_intel,7,0.114
V1_rep6,silver.paf,7,0.087
V1_rep6,silver.obstaculo,7,0.088
V1_rep6,silver.seg_area,7,0.089
V1_rep6,silver.pessoal,7,0.075
V1_rep6,silver.material,7,0.05
V1_rep7,silver.gps,7,0.07
V1_rep7,silver.sensor,7,0.043
V1_rep7,silver.relt_intel,7,0.114
V1_rep7,silver.paf,7,0.087
V1_rep7,silver.obstaculo,7,0.088
V1_rep7,silver.seg_area,7,0.09
V1_rep7,silver.pessoal,7,0.076
V1_rep7,silver.material,7,0.05
V1_rep8,silver.gps,7,0.07
V1_rep8,silver.sensor,7,0.043
V1_rep8,silver.relt_intel,7,0.114
V1_rep8,silver.paf,7,0.087
V1_rep8,silver.obstaculo,7,0.087
V1_rep8,silver.seg_area,7,0.089
V1_rep8,silver.pessoal,7,0.076
V1_rep8,silver.material,7,0.051
